sub_id,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7
002_39,3.1123372746286098,7.018095813805567,9.999378664562586,9.999725996282585,10.0,-9.999999992891267,-10.0
002_4,3.1078450753432887,7.0013989565011,9.999998739818206,9.999999866511164,10.0,-9.999999999982006,10.0
002_40,3.1248401192144732,7.061924249512163,9.999921892918472,9.999891627081253,-10.0,-9.99999998104806,-10.0
002_41,3.1145259629382926,7.0265312396926305,9.999850852677474,9.999927547773098,-10.0,-9.999999977790054,-10.0
002_42,3.1098354292561985,7.011698429004723,9.999601309778578,9.999580103334914,-10.0,-9.999999871083038,-10.0
002_43,3.0991889419795267,6.990706947247747,9.999918831253476,9.9998978983969,-10.0,-9.999999983431048,10.0
002_44,3.117253787854341,7.035185032069712,9.999789066618233,9.999870064077099,-10.0,-9.999999968413505,10.0
002_45,3.1163471691435207,7.038375075549971,9.999922265462645,9.999892380297325,10.0,-9.99999999430849,-10.0
002_46,3.1183748942766205,7.031471191672017,9.999863741200627,9.99989048998602,-10.0,-9.999999972895735,10.0
002_47,3.1266521755423806,7.062711574474885,9.999943332488014,9.999942548858114,-10.0,-9.999999983189397,-10.0
002_48,3.111460782375094,7.016049678305275,9.999895625118654,9.999948649711172,-10.0,-9.999999993025838,-10.0
002_49,3.1061726694710146,7.009962244217015,9.999879558901346,9.999829591139932,-10.0,-9.999999955700632,10.0
002_5,3.1086948915469965,7.000000700628866,9.999955511042577,9.999926048200813,-10.0,-9.999999976630859,-10.0
002_50,3.1118508219798557,7.027356491264146,9.999827842405187,9.999837166285433,-10.0,-9.999999961997359,10.0
002_6,3.1107664882805754,7.007350741084375,9.999955509397484,9.999989366275747,-10.0,-9.999999997852022,10.0
002_7,3.1065286431275108,6.998078500824738,9.999887542951212,9.999909342314632,-10.0,-9.99999997255584,10.0
002_8,3.1037340412694934,6.982812256921358,9.99992749791129,9.999896201276734,-10.0,-9.999999967825058,10.0
002_9,3.122353578853086,7.051779515670468,9.999796496738059,9.999800730651444,10.0,-9.999999997886018,-10.0
003_1,3.114636818786421,7.031063233571356,9.999946811182095,9.999983253562883,10.0,-9.99999999925472,-10.0
003_10,3.109971132817461,7.009665762261002,9.99995773241781,9.999966151225795,-10.0,-9.999999997180044,10.0
003_11,3.108535093069851,7.008138730496704,9.99972978868801,9.999859262619724,-10.0,-9.99999996043138,10.0
003_12,3.1140466958529482,7.026601113260443,9.999363821285304,9.999289766393716,10.0,9.999999805290749,-10.0
003_13,3.1180312952613956,7.036658971913698,9.999874726634548,9.999845104299046,10.0,9.999999958348846,-10.0
003_14,3.1180796313110215,7.041083297081278,9.999943501457812,9.999917680802444,-10.0,-9.999999988205404,10.0
003_15,3.11727906427324,7.035294250803256,9.999831781727837,9.999790673789475,-10.0,-9.999999984642862,-10.0
003_16,3.1179523968553378,7.036329174580099,9.999894816333585,9.999910887358956,-10.0,-9.999999974572287,-10.0
003_17,3.1088173702730106,7.0053928209603455,9.999684746712312,9.999678214658191,-10.0,-9.999999921330929,10.0
003_18,3.121369127860352,7.046683951816653,9.99999088629451,9.999980895357258,10.0,9.999999997410367,-10.0
003_19,3.1200882096163465,7.039579518369211,9.999857163953509,9.999897818260566,-10.0,-9.999999979545843,-10.0
003_2,3.1152511722826306,7.027728848685034,9.999979611543173,9.999983379329729,10.0,9.999999995487844,10.0
003_20,3.1175024975106864,7.034550897328471,9.999933101559199,9.999959679332934,-10.0,-9.999999990432478,-10.0
003_21,3.1173540354003197,7.046127099141258,9.999980271828502,9.999976403769788,-10.0,-9.99999999604327,-10.0
003_22,3.11286046597714,7.02667947238318,9.999977459437053,9.99995017099793,-10.0,-9.999999985389298,-10.0
003_23,3.093737409648471,6.9613238371282655,9.999870747277964,9.999934319592764,-10.0,-9.99999997924425,10.0
003_24,3.115527770489027,7.034996644514218,9.999901737389447,9.999914940760023,-10.0,-9.99999998584706,-10.0
003_25,3.1105791544405887,7.018508503745402,9.999934251637072,9.9999729928862,10.0,9.99999999861566,-10.0
003_26,3.102654629371534,6.996968898082415,9.99987442347544,9.999918556250012,-10.0,-9.999999979795845,-10.0
003_27,3.1087193347244932,7.01830458539965,9.999863060320795,9.99974136737058,10.0,9.99999994399986,-10.0
003_28,3.0903180666063323,6.955725739276818,9.99978777644889,9.999834998107195,-10.0,-9.999999987139471,-10.0
003_29,3.110756185947372,7.017588683113892,9.999827230094743,9.9998795104524,-10.0,-9.999999965210012,-10.0
003_3,3.1096907738182065,7.017785004744064,9.999891323577481,9.999907404421727,10.0,9.99999997669474,10.0
003_30,3.107539043291684,7.007598625502245,9.999787355448374,9.99981187167885,-10.0,-9.999999975185222,-10.0
003_31,3.10163773433625,6.991460951628064,9.99973268132337,9.999691670829916,10.0,9.99999998217591,-10.0
003_32,3.1076897600122244,7.002317324055796,9.999380291594342,9.99971344163377,-10.0,-9.999999923622925,10.0
003_33,3.0994821744478736,6.978445546107604,9.99933310296512,9.999601407968031,-10.0,-9.999999871079078,-10.0
003_34,3.111531851881073,7.024110729195491,9.999724663904498,9.99994045704659,-10.0,-9.999999982243263,10.0
003_35,3.106602654778501,7.012251783873025,9.999884112972836,9.999928059925718,-10.0,-9.999999984740386,-10.0
003_36,3.108734680813134,7.01620521783837,9.999876388995931,9.999931795059158,10.0,-9.999999997132713,-10.0
003_37,3.0959015596842785,6.990709071252886,9.999788654835363,9.999824358222385,10.0,9.999999970980541,-10.0
003_38,3.1152965470555944,7.028997262760994,9.999974098278125,9.999965919177336,10.0,9.99999999009492,10.0
003_39,3.1133943373637973,7.020977108515148,9.99976163411817,9.999870717126104,-10.0,-9.999999965219356,-10.0
003_4,3.1103169086311753,7.019994855652273,9.999385602190944,9.999678136081766,-10.0,-9.999999906636763,10.0
003_40,3.1106218033207615,7.015216179457707,9.999652864695232,9.999753619865997,10.0,-9.999999997773887,-10.0
003_41,3.1185588183425317,7.038249072492323,9.99994181093685,9.999951012658725,10.0,9.999999985923717,-10.0
003_42,3.1060262419616245,7.005523240391546,9.999860573224796,9.999931701418493,-10.0,-9.999999985273272,-10.0
003_43,3.0901504431660323,6.958874001648768,9.999744613771782,9.99959663852208,10.0,9.999999901758931,-10.0
003_44,3.111508558376041,7.014866522913004,9.999851716065807,9.999953836441799,-10.0,-9.99999998597327,-10.0
003_45,3.0741788298852506,6.967530281770758,9.993563084777989,9.997016789094552,9.999999999999996,9.999999108272023,9.999999999999998
003_46,3.1166228303225636,7.028091802976571,9.999993139084525,9.999977520080723,10.0,9.999999994748986,10.0
003_47,3.1132983785078716,7.02365987476704,9.999782479548715,9.999885542418903,10.0,9.999999993069125,-10.0
003_48,3.1121379671904066,7.0270710960638025,9.99992457532327,9.999824574159751,10.0,9.999999946309325,10.0
003_49,3.1149667577739906,7.03040473795113,9.999945597231545,9.99995507884414,10.0,9.999999995750878,-10.0
003_5,3.118045687750365,7.101885859840438,9.999883505481828,9.999844234633942,-10.0,-9.99999997973636,-10.0
003_50,3.105993148690876,6.998971177773213,9.999523111491575,9.999655061253192,-10.0,-9.999999900084777,10.0
003_6,3.1147442367855698,7.023942130540893,9.99979440771277,9.9998800028573,-10.0,-9.999999982330257,-10.0
003_7,3.0783763983686234,6.936824432727905,9.998931458310468,9.999038364270273,10.0,9.99999968012073,10.0
003_8,3.1067963189348355,7.017059194069018,9.999780845877106,9.999683539914043,10.0,9.999999904402545,-10.0
003_9,3.110288853249065,7.01556962655818,9.999990138521552,9.99998499762121,10.0,9.999999996360618,10.0
004_1,3.113371500370995,7.022219385147292,9.999864582193409,9.999851770169949,10.0,9.999999979292362,-10.0
004_10,3.1073092994465963,7.016871113831899,9.99998653003672,9.999980999341716,10.0,9.999999996076625,-10.0
004_100,3.1109971039937374,7.010661272578112,9.999766391088302,9.999749155101863,-10.0,-9.999999986779388,-10.0
004_101,3.112883579898445,7.01518545407514,9.999923865343767,9.99993573333863,-10.0,-9.999999980621359,-10.0
004_102,3.09867120450574,6.9777887019137035,9.999908896995676,9.999901280366696,10.0,9.999999969193098,-10.0
004_103,3.1155483235842882,7.026533087445271,9.999981534982043,9.999956316275203,-10.0,-9.999999989859191,-10.0
004_104,3.110344174838473,7.00980569303443,9.999859615064544,9.999939806485424,-10.0,-9.999999981302132,10.0
004_105,3.1151225182257805,7.025133621541634,9.99990611080544,9.999889476198366,10.0,9.999999978448649,-10.0
004_106,3.1113317774895846,7.018094847383437,9.999796348317398,9.999869416307433,-10.0,-9.999999962283626,10.0
004_107,3.104813006141017,6.994652262520545,9.999013924859264,9.999036853021922,10.0,9.999999724961015,-10.0
004_108,3.1147070197283164,7.028201594363627,9.999954718825531,9.999962490597742,10.0,9.999999998883105,10.0
004_109,3.112792337923779,7.01255345309111,9.999954863938326,9.999943439636956,10.0,9.99999998680067,10.0
004_11,3.111675692527127,7.015517933832099,9.99975545942012,9.999808135920444,10.0,9.999999988325849,-10.0
004_110,3.1184986742290417,7.036342467428803,9.999832172369079,9.999835421351948,10.0,9.999999951002572,10.0
004_111,3.1213496272646677,7.041709891959179,9.999825758143428,9.999831407625337,-10.0,-9.999999970746925,-10.0
004_112,3.113563980197238,7.024296126767971,9.999718686087343,9.999851380725833,-10.0,-9.999999955774575,10.0
004_113,3.1169194335727664,7.028176166960304,9.99989058523642,9.99993253630817,-10.0,-9.999999991367996,10.0
004_114,3.1192475241382276,7.042060325407426,9.999811911987498,9.999854566504823,-10.0,-9.999999962613474,-10.0
004_115,3.1221058449370034,7.042602296432653,9.99999796803317,9.99998661743031,-10.0,-9.999999996020746,10.0
004_116,3.1126134988162417,7.016977937515482,9.9998891575509,9.999967128876861,-10.0,-9.999999989864365,10.0
004_117,3.111346855251285,7.01723130575715,9.999868212405456,9.99986926764852,-10.0,-9.999999994795141,-10.0
004_118,3.1197820939767413,7.035291526810478,9.999903285133065,9.999902469288157,-10.0,-9.999999970659111,10.0
004_119,3.111001069181847,7.012726729430851,9.999866511195238,9.999822988391317,10.0,9.999999976856802,-10.0
004_12,3.112473248388178,7.021006382255389,9.999985339538563,9.999984341107758,10.0,9.999999995735063,10.0
004_120,3.1118161272610143,7.018993660815937,9.999919706253047,9.999935363648596,-10.0,-9.999999982937133,10.0
004_121,3.1148106210177358,7.020521330862944,9.999897276556133,9.999906192258262,10.0,9.999999996586727,-10.0
004_122,3.1095926578865445,7.008067730601618,9.999952161925354,9.999950018567379,10.0,9.999999985793043,-10.0
004_123,3.1102048062010645,7.006675541047025,9.999603544204396,9.999635854795171,-10.0,-9.999999907442836,10.0
004_124,3.1085337766960093,7.014865842749617,9.999877110351665,9.999831691447964,10.0,9.999999947763923,10.0
004_125,3.110721084747317,7.012536536915439,9.999875729466833,9.999900773098101,-10.0,-9.999999977075545,-10.0
004_126,3.1197988645113934,7.042096778486966,9.999863338866055,9.999895459187869,-10.0,-9.999999978667109,10.0
004_127,3.1072617593676686,7.001210160060922,9.99959822927167,9.999746648403695,10.0,-9.999999990916933,-10.0
004_128,3.112744610624656,7.013907082373691,9.999598733930654,9.999694456907903,-10.0,-9.999999922192215,10.0
004_129,3.1214645837752935,7.038115844829149,9.999890885649942,9.99991552047858,-10.0,-9.999999975166974,-10.0
004_13,3.1078957057078425,7.004278183246482,9.999997843339633,9.999975483036895,10.0,-9.999999999788553,10.0
004_130,3.1155613647787015,7.031135098650633,9.999811250562662,9.999818168046762,-10.0,-9.999999972865762,-10.0
004_131,3.1210566868859915,7.046391680832968,9.999969124056786,9.999958362385764,-10.0,-9.999999988827058,10.0
004_132,3.111215122297652,7.0104160198810535,9.9997115044912,9.999788201276749,-10.0,-9.999999962394684,10.0
004_133,3.1159070797688933,7.0244371993778305,9.999843133810133,9.999893479638105,-10.0,-9.999999967306346,10.0
004_134,3.1078713754913743,7.0099929619302115,9.999937365668046,9.9999089535085,-10.0,-9.999999993005986,-10.0
004_135,3.112381707055675,7.025112324656651,9.999976811503997,9.999953091156229,-10.0,-9.999999995708599,-10.0
004_136,3.1130281732876663,7.01324539821379,9.999570092004646,9.999698560806596,-10.0,-9.999999967208785,-10.0
004_137,3.115351821246141,7.028897405222283,9.999935870853273,9.999938981872468,-10.0,-9.999999982100704,10.0
004_138,3.1070691401503323,6.9984544037389425,9.99960256362003,9.999728966139068,-10.0,-9.99999992547513,-10.0
004_139,3.118270617858769,7.03115746369146,9.999903409132981,9.999911735291303,-10.0,-9.99999997313564,-10.0
004_14,3.121725181457528,7.050002369626073,9.999989560674448,9.999997023130438,-10.0,-9.999999999167548,10.0
004_140,3.1147399566572544,7.028295156794379,9.999885828517243,9.999933006350544,-10.0,-9.999999984848587,10.0
004_141,3.10856992370198,6.995991500042589,9.999994494492265,9.999985662225914,-10.0,-9.999999995449633,-10.0
004_142,3.110524772736031,7.015733225225263,9.999742457029964,9.999806851655908,-10.0,-9.999999956961117,-10.0
004_143,3.1012082745482785,6.981960965344785,9.999974462383681,9.999971658507743,-10.0,-9.999999991279397,-10.0
004_144,3.104617527957761,6.985339075901171,9.999167344958044,9.999485944420496,-10.0,-9.999999882610384,-10.0
004_145,3.106169110580785,6.991432510312768,9.999819893178003,9.999910927799723,-10.0,-9.999999975379193,-10.0
004_146,3.1103534980137826,7.00505124108704,9.999992172061468,9.999984818974378,-10.0,9.9999999995371,10.0
004_147,3.111633269912167,7.027327465906072,9.999996528424502,9.999983521482534,-10.0,-9.999999997678716,-10.0
004_148,3.0895105074091456,6.948186348760957,9.999808903654404,9.99969452187551,10.0,9.99999991350216,-10.0
004_149,3.1040530062976264,6.9997349295062445,9.999302750184613,9.999555756191747,10.0,9.999999860092538,-10.0
004_15,3.105657870561244,6.997140611711339,9.999737936526193,9.999763539245272,10.0,9.999999977126537,-10.0
004_150,3.1049501023562303,6.998436610850752,9.999694079773905,9.99968079050608,10.0,-9.999999991258083,-10.0
004_151,3.110165890969861,7.0087924807564015,9.999868082847748,9.999946396152295,-10.0,-9.999999987257636,-10.0
004_152,3.115183278862186,7.023721068151097,9.999647486098153,9.99979928597566,-10.0,-9.999999958200354,-10.0
004_153,3.1165155745113204,7.019529374085892,9.999964250424275,9.999969562227756,-10.0,-9.999999990628815,-10.0
004_154,3.1162302881070048,7.03805027490738,9.999831072158516,9.999808392236059,10.0,9.99999994885532,10.0
004_155,3.1106031933434823,7.019861673281339,9.99995215366569,9.99992628344535,-10.0,-9.999999977225892,-10.0
004_156,3.108441171418101,7.001460545685869,9.999717166389994,9.99972694575436,-10.0,-9.999999927028869,10.0
004_157,3.1125423928722085,7.019267165127296,9.999897967485218,9.999962603993579,10.0,-9.999999999234221,-10.0
004_158,3.1164806750475593,7.030432211040476,9.999781444045196,9.999832236126018,-10.0,-9.999999961414355,10.0
004_159,3.117521570107505,7.027385238871693,9.999955776651284,9.999959034147649,-10.0,-9.999999990605053,10.0
004_16,3.1138573942269376,7.022095046385913,9.999727239926404,9.999872386808983,10.0,9.99999998582783,10.0
004_160,3.114108938373129,7.022640378390377,9.999813835736942,9.99986223117063,10.0,9.9999999908254,10.0
004_161,3.10791792544763,7.0014486783156125,9.999584874188903,9.999793987071337,-10.0,-9.999999936875536,-10.0
004_162,3.106418845208122,6.997280252053643,9.999905158787085,9.999902116646675,10.0,-9.99999999399291,10.0
004_163,3.098571285757358,6.976559863379025,9.999903644278316,9.999874363400954,-10.0,-9.999999959222158,-10.0
004_164,3.1196226415021706,7.038510269963956,9.99995023634754,9.99993473197706,-10.0,-9.99999998804829,-10.0
004_165,3.1123085462337605,7.016329552886778,9.99993441893844,9.999972604124922,10.0,9.999999998577916,-10.0
